24/03/2022 16:22:38.11 [Information] -------------------------------
24/03/2022 16:22:54.40 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\VIO_USER_BUS.xml), 2000, 0'.
24/03/2022 16:22:54.40 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\TransferApp_IO.xml), 2000, 0'.
24/03/2022 16:22:54.51 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\ecatms_sys_X44_swap.xml), 2000, 0'.
24/03/2022 16:22:54.62 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\ecatms_sys_X44_usr_config.xml), 2000, 0'.
24/03/2022 16:22:54.62 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\ecatms_sys_X48_config.xml), 2000, 0'.
24/03/2022 16:22:55.33 [Information] SafetyNetworkInstallAction 'New:safety.Copy(Config:\User\Common\SAFEDEV.SAF), 2000, 0': Checksum is identical.
24/03/2022 16:22:55.40 [Warning] Ignore SafetyNetworkInstallAction: Copy "C:\KRC\ROBOTER\Config\User\Common\SAFEDEV.SAF". Header and content check states identical data!
24/03/2022 16:22:55.40 [Warning] Ignore SafetyConfigParamAction: Copy "C:\KRC\ROBOTER\Config\User\Common\SCTLPARA.SAF". Param header and content check states identical data!
24/03/2022 16:22:55.41 [Warning] Ignore SafetyConfigParamAction: Copy "C:\KRC\ROBOTER\Config\User\Common\SCTLPARA.SAF". Param header and content check states identical data!
24/03/2022 16:22:55.41 [Information] SafetyParamInfoAction 'New:safety.Copy(Config:\User\Common\SCTLINFO.SAF), 2000, 0': Ignored since safety parameter file is ignored too.
24/03/2022 16:22:55.42 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\KrcIoSignals.xml), 2000, 0'.
24/03/2022 16:22:55.42 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\KRC_IO.xml), 2000, 0'.
24/03/2022 16:22:55.42 [Warning] Ignore UserPdiInstallAction: Copy "C:\KRC\ROBOTER\Config\User\Common\USERPDI.SAF". Header and content check states identical data!
24/03/2022 16:22:55.43 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\A2.xml), 2000, 0'.
24/03/2022 16:22:55.43 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\CtrlA2AddFct.xml), 2000, 0'.
24/03/2022 16:22:55.54 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\CtrlA2.xml), 2000, 0'.
24/03/2022 16:22:55.65 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Motor\M_LGen2_KSPsr10_244V_SSRklein_V1.xml), 2000, 0'. MD5 check is identical!
24/03/2022 16:22:55.65 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\ServoFile\S_LGen2_KSPsr10_244V_SSRklein_V1.xml), 2000, 0'. MD5 check is identical!
24/03/2022 16:22:55.65 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\CtrlA3.xml), 2000, 0'.
24/03/2022 16:22:55.66 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\ServoFile\S_D0Gen2C_KSPsr12_244V_SSRklein_V1.xml), 2000, 0'. MD5 check is identical!
24/03/2022 16:22:55.66 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Motor\M_D0Gen2C_KSPsr12_244V_SSRklein_V1.xml), 2000, 0'. MD5 check is identical!
24/03/2022 16:22:55.66 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Mada\KRCAxes.xml), 2000, 0'.
24/03/2022 16:22:55.67 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\A1.xml), 2000, 0'.
24/03/2022 16:22:55.67 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\CtrlA1AddFct.xml), 2000, 0'.
24/03/2022 16:22:55.67 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\CtrlA1.xml), 2000, 0'.
24/03/2022 16:22:55.77 [Information] [Copy]	Action ignore: 'New:mada.Copy(KRC:\R1\Mada\$robcor.dat), 4000, 0'. MD5 check is identical!
24/03/2022 16:22:55.78 [Information] [Copy]	Action ignore: 'New:mada.Copy(KRC:\STEU\$config.dat), 4000, 0'. MD5 check is identical!
24/03/2022 16:22:55.78 [Information] [Copy]	Action ignore: 'New:mada.Copy(KRC:\STEU\Mada\$machine.dat), 4000, 0'. MD5 check is identical!
24/03/2022 16:22:55.79 [Information] [Copy]	Action ignore: 'New:mada.Copy(KRC:\R1\Mada\$machine.dat), 4000, 0'. MD5 check is identical!
24/03/2022 16:22:55.79 [Information] [Copy]	Action ignore: 'New:mada.Copy(KRC:\Steu\Mada\$custom.dat), 4000, 0'. MD5 check is identical!
24/03/2022 16:22:55.79 [Information] KrcCopyAction 'New:mada.Copy(KRC:\R1\System\$config.dat), 4000, 0': Requests stopping the program.
